state	total_cn	expected_depth	poisson_variance	excess_variance	total_variance	std	pair_prior	effective_pair_prior	log_likelihood	log_unnormalized	posterior
(0,0)	0.0	0.0	2e-08	0.0	2e-08	0.0001414213562373095	0.01818181818181818	0.018163636363636364	-249992.05517175153	-249996.0635054371	0.0
(0,1)	1.0	1.0	0.01	0.1704490555402135	0.1804490555402135	0.424792956085919	0.01818181818181818	0.018163636363636364	-2.3071859167262616	-6.315519602292316	0.0486324838050751
(0,2)	2.0	2.0	0.02	0.681796222160854	0.701796222160854	0.8377327868484401	0.01818181818181818	0.018163636363636364	-3.313854101592795	-7.32218778715885	0.017771988070431094
(1,1)	2.0	2.0	0.02	0.681796222160854	0.701796222160854	0.8377327868484401	0.9090909090909091	0.9081818181818182	-3.313854101592795	-3.4101647817307037	0.8885994035215546
(1,2)	3.0	3.0	0.03	1.5340414998619214	1.5640414998619214	1.2506164479415427	0.01818181818181818	0.018163636363636364	-3.831122708039924	-7.839456393605978	0.010594710926251506
(2,2)	4.0	4.0	0.04	2.727184888643416	2.767184888643416	1.663485764484751	0.01818181818181818	0.018163636363636364	-4.176134194737513	-8.184467880303567	0.007503303728403152
