state	total_cn	expected_depth	poisson_variance	excess_variance	total_variance	std
(0,0)	0.0	0.0	2e-08	0.0	2e-08	0.0001414213562373095
(0,1)	1.0	1.0	0.01	0.1704490555402135	0.1804490555402135	0.424792956085919
(0,2)	2.0	2.0	0.02	0.681796222160854	0.701796222160854	0.8377327868484401
(1,1)	2.0	2.0	0.02	0.681796222160854	0.701796222160854	0.8377327868484401
(1,2)	3.0	3.0	0.03	1.5340414998619214	1.5640414998619214	1.2506164479415427
(2,2)	4.0	4.0	0.04	2.727184888643416	2.767184888643416	1.663485764484751
